FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-05-27,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,777,JAN,"Jackson/Vicksburg, MS",ATL,"Atlanta, GA",1915,1908.0,-7.0,12.0,1920.0,2111.0,13.0,2137,2124.0,-13.0,NOT CANCELLED,NOT DIVERTED,82.0,76.0,51.0,341.0,,,,,,2022
2022-03-11,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2488,ORD,"Chicago, IL",CLT,"Charlotte, NC",1424,1422.0,-2.0,11.0,1433.0,1658.0,11.0,1723,1709.0,-14.0,NOT CANCELLED,NOT DIVERTED,119.0,107.0,85.0,599.0,,,,,,2022
2022-10-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1371,LAS,"Las Vegas, NV",DAL,"Dallas, TX",1645,1821.0,96.0,13.0,1834.0,2254.0,4.0,2125,2258.0,93.0,NOT CANCELLED,NOT DIVERTED,160.0,157.0,140.0,1067.0,93.0,0.0,0.0,0.0,0.0,2022
2022-10-17,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,248,ORD,"Chicago, IL",SEA,"Seattle, WA",700,655.0,-5.0,12.0,707.0,855.0,9.0,945,904.0,-41.0,NOT CANCELLED,NOT DIVERTED,285.0,249.0,228.0,1721.0,,,,,,2022
2022-07-30,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5313,ACV,"Arcata/Eureka, CA",SFO,"San Francisco, CA",600,552.0,-8.0,11.0,603.0,654.0,4.0,714,658.0,-16.0,NOT CANCELLED,NOT DIVERTED,74.0,66.0,51.0,250.0,,,,,,2022
2022-08-01,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,218,SFO,"San Francisco, CA",PDX,"Portland, OR",925,919.0,-6.0,18.0,937.0,1049.0,3.0,1109,1052.0,-17.0,NOT CANCELLED,NOT DIVERTED,104.0,93.0,72.0,550.0,,,,,,2022
2022-05-10,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1212,ORD,"Chicago, IL",CLE,"Cleveland, OH",1723,1758.0,35.0,17.0,1815.0,2003.0,6.0,1939,2009.0,30.0,NOT CANCELLED,NOT DIVERTED,76.0,71.0,48.0,315.0,21.0,0.0,0.0,0.0,9.0,2022
2022-11-25,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,873,SAN,"San Diego, CA",LAS,"Las Vegas, NV",1115,1112.0,-3.0,19.0,1131.0,1228.0,8.0,1239,1236.0,-3.0,NOT CANCELLED,NOT DIVERTED,84.0,84.0,57.0,258.0,,,,,,2022
2022-07-08,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2649,ATL,"Atlanta, GA",JAX,"Jacksonville, FL",1140,1138.0,-2.0,17.0,1155.0,1239.0,4.0,1248,1243.0,-5.0,NOT CANCELLED,NOT DIVERTED,68.0,65.0,44.0,270.0,,,,,,2022
2022-11-10,JetBlue Airways,JetBlue Airways: B6,B6,20409,2786,RDU,"Raleigh/Durham, NC",JFK,"New York, NY",1115,1110.0,-5.0,14.0,1124.0,1231.0,6.0,1249,1237.0,-12.0,NOT CANCELLED,NOT DIVERTED,94.0,87.0,67.0,427.0,,,,,,2022
2022-09-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1107,SLC,"Salt Lake City, UT",SAT,"San Antonio, TX",1345,1338.0,-7.0,14.0,1352.0,1704.0,4.0,1731,1708.0,-23.0,NOT CANCELLED,NOT DIVERTED,166.0,150.0,132.0,1087.0,,,,,,2022
2022-06-11,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1662,DEN,"Denver, CO",CLT,"Charlotte, NC",1315,1410.0,55.0,11.0,1421.0,1900.0,10.0,1834,1910.0,36.0,NOT CANCELLED,NOT DIVERTED,199.0,180.0,159.0,1337.0,31.0,0.0,0.0,0.0,5.0,2022
