FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-02-03,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1712,STL,"St. Louis, MO",DTW,"Detroit, MI",1915,,,,,,,2140,,,CANCELLED,B,NOT DIVERTED,85.0,,,440.0,,,,,,2022
2022-11-06,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3024,BNA,"Nashville, TN",ORD,"Chicago, IL",701,,,,,,,850,,,CANCELLED,B,NOT DIVERTED,109.0,,,409.0,,,,,,2022
2022-12-08,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5046,DEN,"Denver, CO",LBF,"North Platte, NE",1625,,,,,,,1825,,,CANCELLED,B,NOT DIVERTED,60.0,,,228.0,,,,,,2022
2022-08-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1121,MDW,"Chicago, IL",ATL,"Atlanta, GA",1850,,,,,,,2140,,,CANCELLED,B,NOT DIVERTED,110.0,,,591.0,,,,,,2022
2022-01-06,Republic Airline,Republic Airline: YX,YX,20452,3416,ATL,"Atlanta, GA",EWR,"Newark, NJ",1812,,,,,,,2030,,,CANCELLED,A,NOT DIVERTED,138.0,,,746.0,,,,,,2022
2022-06-04,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2726,ORD,"Chicago, IL",PHL,"Philadelphia, PA",957,,,,,,,1255,,,CANCELLED,B,NOT DIVERTED,118.0,,,678.0,,,,,,2022
2022-04-03,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1851,TPA,"Tampa, FL",PHL,"Philadelphia, PA",1709,,,,,,,1941,,,CANCELLED,B,NOT DIVERTED,152.0,,,920.0,,,,,,2022
2022-01-08,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5880,DFW,"Dallas/Fort Worth, TX",CRP,"Corpus Christi, TX",2102,,,,,,,2226,,,CANCELLED,A,NOT DIVERTED,84.0,,,354.0,,,,,,2022
2022-04-08,Allegiant Air,Allegiant Air: G4,G4,20368,411,AVL,"Asheville, NC",AUS,"Austin, TX",800,,,,,,,944,,,CANCELLED,A,NOT DIVERTED,164.0,,,950.0,,,,,,2022
2022-06-11,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,655,PHX,"Phoenix, AZ",PHL,"Philadelphia, PA",1603,,,,,,,2342,,,CANCELLED,A,NOT DIVERTED,279.0,,,2075.0,,,,,,2022
